,Product name,Links of products,Reviews
0,"Apple iPhone 12 (Green, 64 GB)",https://www.flipkart.com/apple-iphone-12-green-64-gb/p/itmc8a19a9686173?pid=MOBFWBYZKK3EJPFW&lid=LSTMOBFWBYZKK3EJPFW7Z5IXN&marketplace=FLIPKART&q=apple+mobiles&store=tyy%2F4io&srno=s_2_25&otracker=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&fm=organic&iid=c4baaed5-819e-4a95-bb72-9652d75e390a.MOBFWBYZKK3EJPFW.SEARCH&ppt=None&ppn=None&ssid=tynumqdhvk0000001708186540033&qH=cb603b9543d774e1,4.6
1,"Apple iPhone 12 (Black, 64 GB)",https://www.flipkart.com/apple-iphone-12-black-64-gb/p/itma2559422bf7c7?pid=MOBFWBYZU5FWK2VP&lid=LSTMOBFWBYZU5FWK2VPQTNJSG&marketplace=FLIPKART&q=apple+mobiles&store=tyy%2F4io&srno=s_2_26&otracker=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&fm=organic&iid=c4baaed5-819e-4a95-bb72-9652d75e390a.MOBFWBYZU5FWK2VP.SEARCH&ppt=None&ppn=None&ssid=tynumqdhvk0000001708186540033&qH=cb603b9543d774e1,4.6
2,"Apple iPhone 14 (Starlight, 256 GB)",https://www.flipkart.com/apple-iphone-14-starlight-256-gb/p/itmaeda15697bb79?pid=MOBGHWFHBJGZYRZC&lid=LSTMOBGHWFHBJGZYRZCUALABX&marketplace=FLIPKART&q=apple+mobiles&store=tyy%2F4io&srno=s_2_27&otracker=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&fm=organic&iid=c4baaed5-819e-4a95-bb72-9652d75e390a.MOBGHWFHBJGZYRZC.SEARCH&ppt=None&ppn=None&ssid=tynumqdhvk0000001708186540033&qH=cb603b9543d774e1,4.6
3,"Apple iPhone 15 (Pink, 256 GB)",https://www.flipkart.com/apple-iphone-15-pink-256-gb/p/itmd205d11e1959e?pid=MOBGTAGPFDXBQ9BH&lid=LSTMOBGTAGPFDXBQ9BH7PBY4G&marketplace=FLIPKART&q=apple+mobiles&store=tyy%2F4io&srno=s_2_28&otracker=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&fm=organic&iid=c4baaed5-819e-4a95-bb72-9652d75e390a.MOBGTAGPFDXBQ9BH.SEARCH&ppt=None&ppn=None&ssid=tynumqdhvk0000001708186540033&qH=cb603b9543d774e1,4.6
4,"Apple iPhone 15 Pro Max (Natural Titanium, 256 GB)",https://www.flipkart.com/apple-iphone-15-pro-max-natural-titanium-256-gb/p/itm9d44960698192?pid=MOBGTAGQH6K7YMJU&lid=LSTMOBGTAGQH6K7YMJU74VM64&marketplace=FLIPKART&q=apple+mobiles&store=tyy%2F4io&srno=s_2_29&otracker=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&fm=organic&iid=c4baaed5-819e-4a95-bb72-9652d75e390a.MOBGTAGQH6K7YMJU.SEARCH&ppt=None&ppn=None&ssid=tynumqdhvk0000001708186540033&qH=cb603b9543d774e1,4.6
5,"Apple iPhone 15 Plus (Yellow, 128 GB)",https://www.flipkart.com/apple-iphone-15-plus-yellow-128-gb/p/itm94bb31f2af05a?pid=MOBGTAGPVSMQYGZX&lid=LSTMOBGTAGPVSMQYGZXNTFFPK&marketplace=FLIPKART&q=apple+mobiles&store=tyy%2F4io&srno=s_2_30&otracker=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&fm=organic&iid=c4baaed5-819e-4a95-bb72-9652d75e390a.MOBGTAGPVSMQYGZX.SEARCH&ppt=None&ppn=None&ssid=tynumqdhvk0000001708186540033&qH=cb603b9543d774e1,4.6
6,"Apple iPhone 15 Pro (White Titanium, 128 GB)",https://www.flipkart.com/apple-iphone-15-pro-white-titanium-128-gb/p/itm786eaa7ec159e?pid=MOBGTAGPFGSCNHJF&lid=LSTMOBGTAGPFGSCNHJFXSQFMF&marketplace=FLIPKART&q=apple+mobiles&store=tyy%2F4io&srno=s_2_31&otracker=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&fm=organic&iid=c4baaed5-819e-4a95-bb72-9652d75e390a.MOBGTAGPFGSCNHJF.SEARCH&ppt=None&ppn=None&ssid=tynumqdhvk0000001708186540033&qH=cb603b9543d774e1,4.7
7,"Apple iPhone 14 (Yellow, 128 GB)",https://www.flipkart.com/apple-iphone-14-yellow-128-gb/p/itmaa0785520dd68?pid=MOBGNHT7HJFDHHAC&lid=LSTMOBGNHT7HJFDHHACULC6HX&marketplace=FLIPKART&q=apple+mobiles&store=tyy%2F4io&srno=s_2_32&otracker=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&fm=organic&iid=c4baaed5-819e-4a95-bb72-9652d75e390a.MOBGNHT7HJFDHHAC.SEARCH&ppt=None&ppn=None&ssid=tynumqdhvk0000001708186540033&qH=cb603b9543d774e1,4.6
8,"Apple iPhone 15 Plus (Blue, 256 GB)",https://www.flipkart.com/apple-iphone-15-plus-blue-256-gb/p/itm4f3e6fe529a68?pid=MOBGTAGPZXR7SRP6&lid=LSTMOBGTAGPZXR7SRP6LPK3EE&marketplace=FLIPKART&q=apple+mobiles&store=tyy%2F4io&srno=s_2_33&otracker=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&fm=organic&iid=c4baaed5-819e-4a95-bb72-9652d75e390a.MOBGTAGPZXR7SRP6.SEARCH&ppt=None&ppn=None&ssid=tynumqdhvk0000001708186540033&qH=cb603b9543d774e1,4.6
9,"Apple iPhone 15 Pro Max (White Titanium, 256 GB)",https://www.flipkart.com/apple-iphone-15-pro-max-white-titanium-256-gb/p/itm35b922bbbefc9?pid=MOBGTAGQ8DDHVKZM&lid=LSTMOBGTAGQ8DDHVKZMSRYDKK&marketplace=FLIPKART&q=apple+mobiles&store=tyy%2F4io&srno=s_2_34&otracker=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&fm=organic&iid=c4baaed5-819e-4a95-bb72-9652d75e390a.MOBGTAGQ8DDHVKZM.SEARCH&ppt=None&ppn=None&ssid=tynumqdhvk0000001708186540033&qH=cb603b9543d774e1,4.6
10,"Apple iPhone 11 (Green, 64 GB)",https://www.flipkart.com/apple-iphone-11-green-64-gb/p/itm386a85013a3d1?pid=MOBFWQ6BHPMG29QM&lid=LSTMOBFWQ6BHPMG29QMKXJSSF&marketplace=FLIPKART&q=apple+mobiles&store=tyy%2F4io&srno=s_2_35&otracker=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&fm=organic&iid=c4baaed5-819e-4a95-bb72-9652d75e390a.MOBFWQ6BHPMG29QM.SEARCH&ppt=None&ppn=None&ssid=tynumqdhvk0000001708186540033&qH=cb603b9543d774e1,4.6
