,Product name,Links of products,Reviews
0,"Lenovo Z2 Plus (Black, 32 GB)",https://www.flipkart.com/lenovo-z2-plus-black-32-gb/p/itmeq8593eyd5ukd?pid=MOBEMY7FPKHMRBQ5&lid=LSTMOBEMY7FPKHMRBQ5YLSUVD&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_25&otracker=browse&fm=organic&iid=3a2b98ae-48fa-48b9-a555-d9bfbdbd9f3d.MOBEMY7FPKHMRBQ5.SEARCH&ppt=None&ppn=None&ssid=ft37ltit400000001708243223444,3.9
1,"Lenovo Vibe K5 Plus (Dark Grey, 16 GB)",https://www.flipkart.com/lenovo-vibe-k5-plus-dark-grey-16-gb/p/itmf4x2zrsghuxhw?pid=MOBEKEF86VVUE8G2&lid=LSTMOBEKEF86VVUE8G21IPGLO&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_26&otracker=browse&fm=organic&iid=3a2b98ae-48fa-48b9-a555-d9bfbdbd9f3d.MOBEKEF86VVUE8G2.SEARCH&ppt=None&ppn=None&ssid=ft37ltit400000001708243223444,3.9
2,"Lenovo Vibe K5 Plus (Gold, 16 GB)",https://www.flipkart.com/lenovo-vibe-k5-plus-gold-16-gb/p/itmf4x2zrsghuxhw?pid=MOBEKEF8JYGKZCTF&lid=LSTMOBEKEF8JYGKZCTFESD2MB&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_27&otracker=browse&fm=organic&iid=3a2b98ae-48fa-48b9-a555-d9bfbdbd9f3d.MOBEKEF8JYGKZCTF.SEARCH&ppt=None&ppn=None&ssid=ft37ltit400000001708243223444,3.9
3,"Lenovo Vibe K5 Note (Silver, 32 GB)",https://www.flipkart.com/lenovo-vibe-k5-note-silver-32-gb/p/itmejj6k6zcz293d?pid=MOBEJJ6KHHPR2Q3J&lid=LSTMOBEJJ6KHHPR2Q3JYEXPWG&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_28&otracker=browse&fm=organic&iid=3a2b98ae-48fa-48b9-a555-d9bfbdbd9f3d.MOBEJJ6KHHPR2Q3J.SEARCH&ppt=None&ppn=None&ssid=ft37ltit400000001708243223444,4.1
4,"Lenovo Vibe K5 Note (Gold, 32 GB)",https://www.flipkart.com/lenovo-vibe-k5-note-gold-32-gb/p/itmejj6kaphqc3uh?pid=MOBEJJ6KUNUUZG47&lid=LSTMOBEJJ6KUNUUZG47EAKSFX&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_29&otracker=browse&fm=organic&iid=3a2b98ae-48fa-48b9-a555-d9bfbdbd9f3d.MOBEJJ6KUNUUZG47.SEARCH&ppt=None&ppn=None&ssid=ft37ltit400000001708243223444,4.1
5,"Lenovo S930 (Silver, 8 GB)",https://www.flipkart.com/lenovo-s930-silver-8-gb/p/itmdsn9rwdsnetyc?pid=MOBDSN9HMAYFGMVY&lid=LSTMOBDSN9HMAYFGMVYN3R0FH&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_30&otracker=browse&fm=organic&iid=3a2b98ae-48fa-48b9-a555-d9bfbdbd9f3d.MOBDSN9HMAYFGMVY.SEARCH&ppt=None&ppn=None&ssid=ft37ltit400000001708243223444,4.3
6,"Lenovo K8 Note (Venom Black, 64 GB)",https://www.flipkart.com/lenovo-k8-note-venom-black-64-gb/p/itmfffjqd3v8mgts?pid=MOBFY635GPZNCZY8&lid=LSTMOBFY635GPZNCZY88X9CAV&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_31&otracker=browse&fm=organic&iid=3a2b98ae-48fa-48b9-a555-d9bfbdbd9f3d.MOBFY635GPZNCZY8.SEARCH&ppt=None&ppn=None&ssid=ft37ltit400000001708243223444,4.1
7,"Lenovo K10 Plus (Sprite, 64 GB)",https://www.flipkart.com/lenovo-k10-plus-sprite-64-gb/p/itm34c3b4869921b?pid=MOBFJYBE7HFGRUAH&lid=LSTMOBFJYBE7HFGRUAHXFG0SK&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_32&otracker=browse&fm=organic&iid=3a2b98ae-48fa-48b9-a555-d9bfbdbd9f3d.MOBFJYBE7HFGRUAH.SEARCH&ppt=None&ppn=None&ssid=ft37ltit400000001708243223444,4.1
8,"Lenovo A6 Note (Black, 32 GB)",https://www.flipkart.com/lenovo-a6-note-black-32-gb/p/itmdaa9870be4499?pid=MOBFGGPPBZCTKWEC&lid=LSTMOBFGGPPBZCTKWECCSBU9H&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_33&otracker=browse&fm=organic&iid=3a2b98ae-48fa-48b9-a555-d9bfbdbd9f3d.MOBFGGPPBZCTKWEC.SEARCH&ppt=None&ppn=None&ssid=ft37ltit400000001708243223444,4.2
9,"Lenovo K10 Note (Black, 128 GB)",https://www.flipkart.com/lenovo-k10-note-black-128-gb/p/itm7adb713285701?pid=MOBFFXWWXER3G2ZF&lid=LSTMOBFFXWWXER3G2ZFJ3567L&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_34&otracker=browse&fm=organic&iid=3a2b98ae-48fa-48b9-a555-d9bfbdbd9f3d.MOBFFXWWXER3G2ZF.SEARCH&ppt=None&ppn=None&ssid=ft37ltit400000001708243223444,4.1
10,"Lenovo A5 (Gold, 32 GB)",https://www.flipkart.com/lenovo-a5-gold-32-gb/p/itmf9wa84xfxghhh?pid=MOBF9WA8EBGHUFTQ&lid=LSTMOBF9WA8EBGHUFTQJ5GQO6&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_35&otracker=browse&fm=organic&iid=3a2b98ae-48fa-48b9-a555-d9bfbdbd9f3d.MOBF9WA8EBGHUFTQ.SEARCH&ppt=None&ppn=None&ssid=ft37ltit400000001708243223444,4.1
11,"Lenovo A5 (Black, 32 GB)",https://www.flipkart.com/lenovo-a5-black-32-gb/p/itmf9wa8serrmheg?pid=MOBF9WA8PBG8QF2G&lid=LSTMOBF9WA8PBG8QF2GGWIQQS&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_36&otracker=browse&fm=organic&iid=3a2b98ae-48fa-48b9-a555-d9bfbdbd9f3d.MOBF9WA8PBG8QF2G.SEARCH&ppt=None&ppn=None&ssid=ft37ltit400000001708243223444,4.1
12,"Lenovo K8 Note (Venom Black, 32 GB)",https://www.flipkart.com/lenovo-k8-note-venom-black-32-gb/p/itmfffjqd3v8mgts?pid=MOBFYBX9ZR4ETD4S&lid=LSTMOBFYBX9ZR4ETD4SZUDRFX&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_37&otracker=browse&fm=organic&iid=3a2b98ae-48fa-48b9-a555-d9bfbdbd9f3d.MOBFYBX9ZR4ETD4S.SEARCH&ppt=None&ppn=None&ssid=ft37ltit400000001708243223444,4.1
13,"Lenovo K8 Note (Fine Gold, 32 GB)",https://www.flipkart.com/lenovo-k8-note-fine-gold-32-gb/p/itmezvvxpfs5z7f5?pid=MOBEZGHYWDDGKKRH&lid=LSTMOBEZGHYWDDGKKRHIRQLBM&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_38&otracker=browse&fm=organic&iid=3a2b98ae-48fa-48b9-a555-d9bfbdbd9f3d.MOBEZGHYWDDGKKRH.SEARCH&ppt=None&ppn=None&ssid=ft37ltit400000001708243223444,4.1
14,"Lenovo K8 Note (Fine Gold, 64 GB)",https://www.flipkart.com/lenovo-k8-note-fine-gold-64-gb/p/itmfffjqd3v8mgts?pid=MOBEZGZNZ6TPHDNY&lid=LSTMOBEZGZNZ6TPHDNY5GJ2O2&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_39&otracker=browse&fm=organic&iid=3a2b98ae-48fa-48b9-a555-d9bfbdbd9f3d.MOBEZGZNZ6TPHDNY.SEARCH&ppt=None&ppn=None&ssid=ft37ltit400000001708243223444,4.1
15,"Lenovo K8 (Venom Black, 32 GB)",https://www.flipkart.com/lenovo-k8-venom-black-32-gb/p/itmffzffhhyvx3yf?pid=MOBEWN62BPDT84DT&lid=LSTMOBEWN62BPDT84DTBN8ZYN&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_40&otracker=browse&fm=organic&iid=3a2b98ae-48fa-48b9-a555-d9bfbdbd9f3d.MOBEWN62BPDT84DT.SEARCH&ppt=None&ppn=None&ssid=ft37ltit400000001708243223444,4.1
16,"Lenovo K8 (Fine Gold, 32 GB)",https://www.flipkart.com/lenovo-k8-fine-gold-32-gb/p/itmffzffhhyvx3yf?pid=MOBEWN62VHHA2HPN&lid=LSTMOBEWN62VHHA2HPNLQU12N&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_41&otracker=browse&fm=organic&iid=3a2b98ae-48fa-48b9-a555-d9bfbdbd9f3d.MOBEWN62VHHA2HPN.SEARCH&ppt=None&ppn=None&ssid=ft37ltit400000001708243223444,4.1
17,"Lenovo K8 Plus (Venom Black, 32 GB)",https://www.flipkart.com/lenovo-k8-plus-venom-black-32-gb/p/itmex9kpkcgf7xf7?pid=MOBEWN63AUNVTJGU&lid=LSTMOBEWN63AUNVTJGUROMD3C&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_42&otracker=browse&fm=organic&iid=3a2b98ae-48fa-48b9-a555-d9bfbdbd9f3d.MOBEWN63AUNVTJGU.SEARCH&ppt=None&ppn=None&ssid=ft37ltit400000001708243223444,4.1
18,"Lenovo Vibe K5 Note (Silver, 64 GB)",https://www.flipkart.com/lenovo-vibe-k5-note-silver-64-gb/p/itmeuyd8chfxzg6g?pid=MOBEPCFQXFWMCH6Y&lid=LSTMOBEPCFQXFWMCH6Y5SVT9K&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_43&otracker=browse&fm=organic&iid=3a2b98ae-48fa-48b9-a555-d9bfbdbd9f3d.MOBEPCFQXFWMCH6Y.SEARCH&ppt=None&ppn=None&ssid=ft37ltit400000001708243223444,4.1
19,"Lenovo Phab 2 Plus (Gunmetal Grey, 32 GB)",https://www.flipkart.com/lenovo-phab-2-plus-gunmetal-grey-32-gb/p/itmeqcpncnvyfzdk?pid=MOBEQCPNG8KGCBQP&lid=LSTMOBEQCPNG8KGCBQPLFSWNZ&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_44&otracker=browse&fm=organic&iid=3a2b98ae-48fa-48b9-a555-d9bfbdbd9f3d.MOBEQCPNG8KGCBQP.SEARCH&ppt=None&ppn=None&ssid=ft37ltit400000001708243223444,4
20,"Lenovo Phab 2 Plus (Champagne Gold, 32 GB)",https://www.flipkart.com/lenovo-phab-2-plus-champagne-gold-32-gb/p/itmeqcpncnvyfzdk?pid=MOBEQCPNGBHMZKV7&lid=LSTMOBEQCPNGBHMZKV76YK49Q&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_45&otracker=browse&fm=organic&iid=3a2b98ae-48fa-48b9-a555-d9bfbdbd9f3d.MOBEQCPNGBHMZKV7.SEARCH&ppt=None&ppn=None&ssid=ft37ltit400000001708243223444,4
21,"Lenovo K6 Note (Golden, 32 GB)",https://www.flipkart.com/lenovo-k6-note-golden-32-gb/p/itmevt7zzzabffgd?pid=MOBES68AHHX4YHQZ&lid=LSTMOBES68AHHX4YHQZDT4AML&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_46&otracker=browse&fm=organic&iid=3a2b98ae-48fa-48b9-a555-d9bfbdbd9f3d.MOBES68AHHX4YHQZ.SEARCH&ppt=None&ppn=None&ssid=ft37ltit400000001708243223444,4
22,"Lenovo K6 Note (Silver, 32 GB)",https://www.flipkart.com/lenovo-k6-note-silver-32-gb/p/itmevt7zzzabffgd?pid=MOBES68AXSESQZSW&lid=LSTMOBES68AXSESQZSW4OZCHE&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_47&otracker=browse&fm=organic&iid=3a2b98ae-48fa-48b9-a555-d9bfbdbd9f3d.MOBES68AXSESQZSW.SEARCH&ppt=None&ppn=None&ssid=ft37ltit400000001708243223444,4
23,"Lenovo Vibe K5 Note (Grey, 64 GB)",https://www.flipkart.com/lenovo-vibe-k5-note-grey-64-gb/p/itmeuyd8chfxzg6g?pid=MOBEPCFQRJ6KFYZS&lid=LSTMOBEPCFQRJ6KFYZSI4DRRB&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_48&otracker=browse&fm=organic&iid=3a2b98ae-48fa-48b9-a555-d9bfbdbd9f3d.MOBEPCFQRJ6KFYZS.SEARCH&ppt=None&ppn=None&ssid=ft37ltit400000001708243223444,4.1
24,"Lenovo Vibe K5 Note (Grey, 64 GB)",https://www.flipkart.com/lenovo-vibe-k5-note-grey-64-gb/p/itmeuyd8chfxzg6g?pid=MOBEPCFQRJ6KFYZS&lid=LSTMOBEPCFQRJ6KFYZSI4DRRB&marketplace=FLIPKART&store=tyy%2F4io&srno=b_3_49&otracker=browse&fm=organic&iid=1b5bf81a-5023-4a88-a27f-a02e8bf38c89.MOBEPCFQRJ6KFYZS.SEARCH&ppt=None&ppn=None&ssid=dvo8obnark0000001708243224970,4.1
25,"Lenovo Z2 Plus (White, 32 GB)",https://www.flipkart.com/lenovo-z2-plus-white-32-gb/p/itmemy7f3qdhfgyd?pid=MOBEPSJ2428KJ4ET&lid=LSTMOBEPSJ2428KJ4ET2DOHIG&marketplace=FLIPKART&store=tyy%2F4io&srno=b_3_50&otracker=browse&fm=organic&iid=1b5bf81a-5023-4a88-a27f-a02e8bf38c89.MOBEPSJ2428KJ4ET.SEARCH&ppt=None&ppn=None&ssid=dvo8obnark0000001708243224970,3.9
26,"Lenovo Z2 Plus (Black, 64 GB)",https://www.flipkart.com/lenovo-z2-plus-black-64-gb/p/itmeq859xqmxq4ua?pid=MOBEPSJ2B8MMHCHD&lid=LSTMOBEPSJ2B8MMHCHDPG4QMV&marketplace=FLIPKART&store=tyy%2F4io&srno=b_3_51&otracker=browse&fm=organic&iid=1b5bf81a-5023-4a88-a27f-a02e8bf38c89.MOBEPSJ2B8MMHCHD.SEARCH&ppt=None&ppn=None&ssid=dvo8obnark0000001708243224970,3.8
27,"Lenovo Z2 Plus (White, 64 GB)",https://www.flipkart.com/lenovo-z2-plus-white-64-gb/p/itmepsqnhnhwjfwn?pid=MOBEPSJ2MVYJAYTZ&lid=LSTMOBEPSJ2MVYJAYTZ7ASA19&marketplace=FLIPKART&store=tyy%2F4io&srno=b_3_52&otracker=browse&fm=organic&iid=1b5bf81a-5023-4a88-a27f-a02e8bf38c89.MOBEPSJ2MVYJAYTZ.SEARCH&ppt=None&ppn=None&ssid=dvo8obnark0000001708243224970,3.8
28,"Lenovo P2 (Gold, 32 GB)",https://www.flipkart.com/lenovo-p2-gold-32-gb/p/itmeq5ygvgq9vyfn?pid=MOBEZFHHURMWYSFN&lid=LSTMOBEZFHHURMWYSFNQELAVO&marketplace=FLIPKART&store=tyy%2F4io&srno=b_3_53&otracker=browse&fm=organic&iid=1b5bf81a-5023-4a88-a27f-a02e8bf38c89.MOBEZFHHURMWYSFN.SEARCH&ppt=None&ppn=None&ssid=dvo8obnark0000001708243224970,4.3
29,"Lenovo K6 Power (Grey / Dark Grey, 32 GB)",https://www.flipkart.com/lenovo-k6-power-grey-dark-grey-32-gb/p/itmezenfghddrfmc?pid=MOBEZENFG8BPDPSU&lid=LSTMOBEZENFG8BPDPSUCYC4KU&marketplace=FLIPKART&store=tyy%2F4io&srno=b_3_54&otracker=browse&fm=organic&iid=1b5bf81a-5023-4a88-a27f-a02e8bf38c89.MOBEZENFG8BPDPSU.SEARCH&ppt=None&ppn=None&ssid=dvo8obnark0000001708243224970,4
30,"Lenovo K6 Power (Silver, 32 GB)",https://www.flipkart.com/lenovo-k6-power-silver-32-gb/p/itmezenfghddrfmc?pid=MOBEZENFKXZ4HSCG&lid=LSTMOBEZENFKXZ4HSCGIHJVRS&marketplace=FLIPKART&store=tyy%2F4io&srno=b_3_55&otracker=browse&fm=organic&iid=1b5bf81a-5023-4a88-a27f-a02e8bf38c89.MOBEZENFKXZ4HSCG.SEARCH&ppt=None&ppn=None&ssid=dvo8obnark0000001708243224970,4
