,Product name,Links of products,Reviews
0,"REDMI Note 11 Pro (Stealth Black, 128 GB)",https://www.flipkart.com/redmi-note-11-pro-stealth-black-128-gb/p/itm93f6b9c28c056?pid=MOBGHDXFPWKFSFJ2&lid=LSTMOBGHDXFPWKFSFJ2UGWW21&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_25&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=ca1be996-65f3-486b-95db-d40c7e4a5971.MOBGHDXFPWKFSFJ2.SEARCH&ppt=None&ppn=None&ssid=kdp5ra16tc0000001708240006193,4.1
1,"Redmi 9 (Sky Blue, 64 GB)",https://www.flipkart.com/redmi-9-sky-blue-64-gb/p/itm4fb151383983b?pid=MOBFV5FPUS8UHG9H&lid=LSTMOBFV5FPUS8UHG9HPWO67M&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_26&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=ca1be996-65f3-486b-95db-d40c7e4a5971.MOBFV5FPUS8UHG9H.SEARCH&ppt=None&ppn=None&ssid=kdp5ra16tc0000001708240006193,4.3
2,"Mi 11 Lite (Vinyl Black, 128 GB)",https://www.flipkart.com/mi-11-lite-vinyl-black-128-gb/p/itmac6203bae9394?pid=MOBG3VSKHGETEBVM&lid=LSTMOBG3VSKHGETEBVM69CG2F&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_27&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=ca1be996-65f3-486b-95db-d40c7e4a5971.MOBG3VSKHGETEBVM.SEARCH&ppt=None&ppn=None&ssid=kdp5ra16tc0000001708240006193,4.2
3,"Redmi 8 (Sapphire Blue, 64 GB)",https://www.flipkart.com/redmi-8-sapphire-blue-64-gb/p/itm3456a210a9014?pid=MOBFKPYDENDXZZ7U&lid=LSTMOBFKPYDENDXZZ7UBSMHAG&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_28&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=ca1be996-65f3-486b-95db-d40c7e4a5971.MOBFKPYDENDXZZ7U.SEARCH&ppt=None&ppn=None&ssid=kdp5ra16tc0000001708240006193,4.4
4,"Redmi K20 Pro (Flame Red, 128 GB)",https://www.flipkart.com/redmi-k20-pro-flame-red-128-gb/p/itmfg7uysw6gs55a?pid=MOBFG7UYFKHFKBNB&lid=LSTMOBFG7UYFKHFKBNBIBDWWE&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_29&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=ca1be996-65f3-486b-95db-d40c7e4a5971.MOBFG7UYFKHFKBNB.SEARCH&ppt=None&ppn=None&ssid=kdp5ra16tc0000001708240006193,4.5
5,"Redmi Note 7S (Sapphire Blue, 32 GB)",https://www.flipkart.com/redmi-note-7s-sapphire-blue-32-gb/p/itmfgpbacwygthha?pid=MOBFGGJ8Z7ZQVHSZ&lid=LSTMOBFGGJ8Z7ZQVHSZVVAQ68&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_30&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=ca1be996-65f3-486b-95db-d40c7e4a5971.MOBFGGJ8Z7ZQVHSZ.SEARCH&ppt=None&ppn=None&ssid=kdp5ra16tc0000001708240006193,4.4
6,"Redmi Note 5 (Gold, 32 GB)",https://www.flipkart.com/redmi-note-5-gold-32-gb/p/itmf2fc39bfw7kyc?pid=MOBF28FTQYA9BFW5&lid=LSTMOBF28FTQYA9BFW5XJRGOI&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_31&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=ca1be996-65f3-486b-95db-d40c7e4a5971.MOBF28FTQYA9BFW5.SEARCH&ppt=None&ppn=None&ssid=kdp5ra16tc0000001708240006193,4.4
7,"Xiaomi 12 Pro 5G (Noir Black, 256 GB)",https://www.flipkart.com/xiaomi-12-pro-5g-noir-black-256-gb/p/itm67bddf0d43d59?pid=MOBGDZ84RS67ZTEP&lid=LSTMOBGDZ84RS67ZTEPVWOBEX&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_32&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=ca1be996-65f3-486b-95db-d40c7e4a5971.MOBGDZ84RS67ZTEP.SEARCH&ppt=None&ppn=None&ssid=kdp5ra16tc0000001708240006193,4.2
8,"Redmi 8A Dual (Midnight Grey, 64 GB)",https://www.flipkart.com/redmi-8a-dual-midnight-grey-64-gb/p/itmf5568beb3c3a5?pid=MOBFSWAGSEZK2KUA&lid=LSTMOBFSWAGSEZK2KUAG4NMAJ&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_33&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=ca1be996-65f3-486b-95db-d40c7e4a5971.MOBFSWAGSEZK2KUA.SEARCH&ppt=None&ppn=None&ssid=kdp5ra16tc0000001708240006193,4.2
9,"Redmi 6A (Black, 16 GB)",https://www.flipkart.com/redmi-6a-black-16-gb/p/itmdf93c982df80f?pid=MOBF9H95RFHUNBQZ&lid=LSTMOBF9H95RFHUNBQZID6OKJ&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_34&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=ca1be996-65f3-486b-95db-d40c7e4a5971.MOBF9H95RFHUNBQZ.SEARCH&ppt=None&ppn=None&ssid=kdp5ra16tc0000001708240006193,4.3
10,"Redmi 8 (Onyx Black, 64 GB)",https://www.flipkart.com/redmi-8-onyx-black-64-gb/p/itmebd23d8a2ed1b?pid=MOBFKPYDZJQHGJXA&lid=LSTMOBFKPYDZJQHGJXAZ1IYPU&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_35&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=ca1be996-65f3-486b-95db-d40c7e4a5971.MOBFKPYDZJQHGJXA.SEARCH&ppt=None&ppn=None&ssid=kdp5ra16tc0000001708240006193,4.4
11,"Mi 10T (Cosmic Black, 128 GB)",https://www.flipkart.com/mi-10t-cosmic-black-128-gb/p/itmcd714276806ef?pid=MOBFWAFZNCMVPHMZ&lid=LSTMOBFWAFZNCMVPHMZCIEQUR&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_36&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=ca1be996-65f3-486b-95db-d40c7e4a5971.MOBFWAFZNCMVPHMZ.SEARCH&ppt=None&ppn=None&ssid=kdp5ra16tc0000001708240006193,4.1
12,"REDMI Note 11 Pro (Stealth Black, 128 GB)",https://www.flipkart.com/redmi-note-11-pro-stealth-black-128-gb/p/itm22dabad45827d?pid=MOBGHDXJW5UQFMTZ&lid=LSTMOBGHDXJW5UQFMTZLNEGVX&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_37&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=ca1be996-65f3-486b-95db-d40c7e4a5971.MOBGHDXJW5UQFMTZ.SEARCH&ppt=None&ppn=None&ssid=kdp5ra16tc0000001708240006193,4.3
13,"Redmi 10 Prime (Phantom Black, 64 GB)",https://www.flipkart.com/redmi-10-prime-phantom-black-64-gb/p/itm7093af5741fe4?pid=MOBGK2GFPNPYFHP7&lid=LSTMOBGK2GFPNPYFHP7DTKHVK&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_38&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=ca1be996-65f3-486b-95db-d40c7e4a5971.MOBGK2GFPNPYFHP7.SEARCH&ppt=None&ppn=None&ssid=kdp5ra16tc0000001708240006193,4.1
14,"Mi 11 Lite (Vinyl Black, 128 GB)",https://www.flipkart.com/mi-11-lite-vinyl-black-128-gb/p/itmac6203bae9394?pid=MOBG3VSKRKGZKJAR&lid=LSTMOBG3VSKRKGZKJAR9UUSWD&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_39&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=ca1be996-65f3-486b-95db-d40c7e4a5971.MOBG3VSKRKGZKJAR.SEARCH&ppt=None&ppn=None&ssid=kdp5ra16tc0000001708240006193,4.2
15,"Redmi 6A (Blue, 32 GB)",https://www.flipkart.com/redmi-6a-blue-32-gb/p/itmfggjrdnrmscwf?pid=MOBFAMZA2EHNAYE8&lid=LSTMOBFAMZA2EHNAYE81HPKJM&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_40&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=ca1be996-65f3-486b-95db-d40c7e4a5971.MOBFAMZA2EHNAYE8.SEARCH&ppt=None&ppn=None&ssid=kdp5ra16tc0000001708240006193,4.3
16,"Redmi 8A (Sunset Red, 32 GB)",https://www.flipkart.com/redmi-8a-sunset-red-32-gb/p/itm5474ed67d23bf?pid=MOBFKF98FTTEN832&lid=LSTMOBFKF98FTTEN832NKEHTF&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_41&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=ca1be996-65f3-486b-95db-d40c7e4a5971.MOBFKF98FTTEN832.SEARCH&ppt=None&ppn=None&ssid=kdp5ra16tc0000001708240006193,4.4
17,"Redmi 7A (Matte Black, 32 GB)",https://www.flipkart.com/redmi-7a-matte-black-32-gb/p/itm117b7c03ad185?pid=MOBFHZ4BRKSMDXH7&lid=LSTMOBFHZ4BRKSMDXH7XKB6YB&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_42&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=ca1be996-65f3-486b-95db-d40c7e4a5971.MOBFHZ4BRKSMDXH7.SEARCH&ppt=None&ppn=None&ssid=kdp5ra16tc0000001708240006193,4.3
18,"Redmi Note 7S (Ruby Red, 64 GB)",https://www.flipkart.com/redmi-note-7s-ruby-red-64-gb/p/itmfh75fae8bbtff?pid=MOBFGGJ85BAHVRUV&lid=LSTMOBFGGJ85BAHVRUVAIPP3O&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_43&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=ca1be996-65f3-486b-95db-d40c7e4a5971.MOBFGGJ85BAHVRUV.SEARCH&ppt=None&ppn=None&ssid=kdp5ra16tc0000001708240006193,4.4
19,"Redmi 6A (Blue, 16 GB)",https://www.flipkart.com/redmi-6a-blue-16-gb/p/itm1ed294a755383?pid=MOBF9Z2Z3YDBSF6V&lid=LSTMOBF9Z2Z3YDBSF6V1MMLVL&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_44&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=ca1be996-65f3-486b-95db-d40c7e4a5971.MOBF9Z2Z3YDBSF6V.SEARCH&ppt=None&ppn=None&ssid=kdp5ra16tc0000001708240006193,4.3
20,"Redmi 7A (Matte Blue, 32 GB)",https://www.flipkart.com/redmi-7a-matte-blue-32-gb/p/itm2cabf87a171a0?pid=MOBFHZ4BZW2GM6UH&lid=LSTMOBFHZ4BZW2GM6UHB6IRZ1&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_45&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=ca1be996-65f3-486b-95db-d40c7e4a5971.MOBFHZ4BZW2GM6UH.SEARCH&ppt=None&ppn=None&ssid=kdp5ra16tc0000001708240006193,4.3
21,"Mi 10T (Cosmic Black, 128 GB)",https://www.flipkart.com/mi-10t-cosmic-black-128-gb/p/itm868408729a66b?pid=MOBGRFKNZAFK2WHS&lid=LSTMOBGRFKNZAFK2WHSJ96EJS&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_46&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=ca1be996-65f3-486b-95db-d40c7e4a5971.MOBGRFKNZAFK2WHS.SEARCH&ppt=None&ppn=None&ssid=kdp5ra16tc0000001708240006193,4.1
22,"Xiaomi 11i Hypercharge 5G (Purple Mist, 128 GB)",https://www.flipkart.com/xiaomi-11i-hypercharge-5g-purple-mist-128-gb/p/itmbfcb7e0ad00a9?pid=MOBGSYMFRGX5FCXM&lid=LSTMOBGSYMFRGX5FCXMCSAWRW&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_47&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=ca1be996-65f3-486b-95db-d40c7e4a5971.MOBGSYMFRGX5FCXM.SEARCH&ppt=None&ppn=None&ssid=kdp5ra16tc0000001708240006193,4.2
23,"Redmi 9A (Sea Blue, 32 GB)",https://www.flipkart.com/redmi-9a-sea-blue-32-gb/p/itmeabd39a0cd669?pid=MOBFVDAYEWNQNKHH&lid=LSTMOBFVDAYEWNQNKHH71ZACK&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_48&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=ca1be996-65f3-486b-95db-d40c7e4a5971.MOBFVDAYEWNQNKHH.SEARCH&ppt=None&ppn=None&ssid=kdp5ra16tc0000001708240006193,4.3
24,"Redmi 9A (Nature Green, 32 GB)",https://www.flipkart.com/redmi-9a-nature-green-32-gb/p/itmeabd39a0cd669?pid=MOBFVDAFCKBNXQ7E&lid=LSTMOBFVDAFCKBNXQ7ECXMBYZ&marketplace=FLIPKART&store=tyy%2F4io&srno=b_3_49&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=b8fed574-e2ee-4e6c-b228-c779ff7dd6da.MOBFVDAFCKBNXQ7E.SEARCH&ppt=None&ppn=None&ssid=o3v562x2o00000001708240039210,4.3
25,"12 (Black, 128 GB)",https://www.flipkart.com/12-black-128-gb/p/itm52eeb140d6985?pid=MOBGSGXB2TFGMTYY&lid=LSTMOBGSGXB2TFGMTYY5FSAQQ&marketplace=FLIPKART&store=tyy%2F4io&srno=b_3_50&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=b8fed574-e2ee-4e6c-b228-c779ff7dd6da.MOBGSGXB2TFGMTYY.SEARCH&ppt=None&ppn=None&ssid=o3v562x2o00000001708240039210,4.7
26,"Redmi Note 7 Pro (Moonlight White, 128 GB)",https://www.flipkart.com/redmi-note-7-pro-moonlight-white-128-gb/p/itm410bac3ec336c?pid=MOBFJFZDF6EZQRHH&lid=LSTMOBFJFZDF6EZQRHHIQJHBR&marketplace=FLIPKART&store=tyy%2F4io&srno=b_3_51&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=b8fed574-e2ee-4e6c-b228-c779ff7dd6da.MOBFJFZDF6EZQRHH.SEARCH&ppt=None&ppn=None&ssid=o3v562x2o00000001708240039210,4.5
27,"REDMI Note 11 Pro (Phantom White, 128 GB)",https://www.flipkart.com/redmi-note-11-pro-phantom-white-128-gb/p/itme7022ee103b26?pid=MOBGHDXFYMM5UFGM&lid=LSTMOBGHDXFYMM5UFGMIGOBQX&marketplace=FLIPKART&store=tyy%2F4io&srno=b_3_52&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=b8fed574-e2ee-4e6c-b228-c779ff7dd6da.MOBGHDXFYMM5UFGM.SEARCH&ppt=None&ppn=None&ssid=o3v562x2o00000001708240039210,4.3
28,"Redmi Note 7 Pro (Blue, 64 GB)",https://www.flipkart.com/redmi-note-7-pro-blue-64-gb/p/itm410bac3ec336c?pid=MOBFDXZ376XRTZXH&lid=LSTMOBFDXZ376XRTZXHNZ5V6Z&marketplace=FLIPKART&store=tyy%2F4io&srno=b_3_53&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=b8fed574-e2ee-4e6c-b228-c779ff7dd6da.MOBFDXZ376XRTZXH.SEARCH&ppt=None&ppn=None&ssid=o3v562x2o00000001708240039210,4.5
29,"REDMI Note 11 Pro (Star Blue, 128 GB)",https://www.flipkart.com/redmi-note-11-pro-star-blue-128-gb/p/itme7022ee103b26?pid=MOBGHDXJ6FPF625G&lid=LSTMOBGHDXJ6FPF625G98WHWM&marketplace=FLIPKART&store=tyy%2F4io&srno=b_3_54&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=b8fed574-e2ee-4e6c-b228-c779ff7dd6da.MOBGHDXJ6FPF625G.SEARCH&ppt=None&ppn=None&ssid=o3v562x2o00000001708240039210,4.1
30,"Redmi 5A (Grey, 16 GB)",https://www.flipkart.com/redmi-5a-grey-16-gb/p/itmf2fwcumw7ghwy?pid=MOBEZWXESCPGF3GZ&lid=LSTMOBEZWXESCPGF3GZME5PM4&marketplace=FLIPKART&store=tyy%2F4io&srno=b_3_55&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=b8fed574-e2ee-4e6c-b228-c779ff7dd6da.MOBEZWXESCPGF3GZ.SEARCH&ppt=None&ppn=None&ssid=o3v562x2o00000001708240039210,4.5
31,"Xiaomi 11i Hypercharge 5G (Stealth Black, 128 GB)",https://www.flipkart.com/xiaomi-11i-hypercharge-5g-stealth-black-128-gb/p/itmd19127afbbce1?pid=MOBG9QWVZFNZDNMM&lid=LSTMOBG9QWVZFNZDNMMSP5EPM&marketplace=FLIPKART&store=tyy%2F4io&srno=b_3_56&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=b8fed574-e2ee-4e6c-b228-c779ff7dd6da.MOBG9QWVZFNZDNMM.SEARCH&ppt=None&ppn=None&ssid=o3v562x2o00000001708240039210,4.2
32,"Mi 11 Lite (Jazz Blue, 128 GB)",https://www.flipkart.com/mi-11-lite-jazz-blue-128-gb/p/itmac6203bae9394?pid=MOBG3VSKQMCRP5CR&lid=LSTMOBG3VSKQMCRP5CRJDNKG6&marketplace=FLIPKART&store=tyy%2F4io&srno=b_3_57&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=b8fed574-e2ee-4e6c-b228-c779ff7dd6da.MOBG3VSKQMCRP5CR.SEARCH&ppt=None&ppn=None&ssid=o3v562x2o00000001708240039210,4.2
33,"12 (Silver, 128 GB)",https://www.flipkart.com/12-silver-128-gb/p/itm52eeb140d6985?pid=MOBGSEMZ6NMHGGCF&lid=LSTMOBGSEMZ6NMHGGCFCI8ZVZ&marketplace=FLIPKART&store=tyy%2F4io&srno=b_3_58&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=b8fed574-e2ee-4e6c-b228-c779ff7dd6da.MOBGSEMZ6NMHGGCF.SEARCH&ppt=None&ppn=None&ssid=o3v562x2o00000001708240039210,4.7
34,"Redmi 7A (Matte Gold, 32 GB)",https://www.flipkart.com/redmi-7a-matte-gold-32-gb/p/itmfhz4cfwesj6qh?pid=MOBFHZ4BYCMVJHVU&lid=LSTMOBFHZ4BYCMVJHVUPQQHI0&marketplace=FLIPKART&store=tyy%2F4io&srno=b_3_59&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=b8fed574-e2ee-4e6c-b228-c779ff7dd6da.MOBFHZ4BYCMVJHVU.SEARCH&ppt=None&ppn=None&ssid=o3v562x2o00000001708240039210,4.3
35,"Redmi K20 (Flame Red, 128 GB)",https://www.flipkart.com/redmi-k20-flame-red-128-gb/p/itmfggkt9gaddvgc?pid=MOBFG7UY9ZXPSQGY&lid=LSTMOBFG7UY9ZXPSQGYHXEX0S&marketplace=FLIPKART&store=tyy%2F4io&srno=b_3_60&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=b8fed574-e2ee-4e6c-b228-c779ff7dd6da.MOBFG7UY9ZXPSQGY.SEARCH&ppt=None&ppn=None&ssid=o3v562x2o00000001708240039210,4.5
36,"10A (Black, 64 GB)",https://www.flipkart.com/10a-black-64-gb/p/itma86b238245d8a?pid=MOBGZXQ5ATBHASRJ&lid=LSTMOBGZXQ5ATBHASRJZJGPFA&marketplace=FLIPKART&store=tyy%2F4io&srno=b_3_61&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=b8fed574-e2ee-4e6c-b228-c779ff7dd6da.MOBGZXQ5ATBHASRJ.SEARCH&ppt=None&ppn=None&ssid=o3v562x2o00000001708240039210,3.8
