,Product name,Links of products,Reviews
0,"POCO C65 (Pastel Blue, 128 GB)",https://www.flipkart.com/poco-c65-pastel-blue-128-gb/p/itm1586ff4fb1c2b?pid=MOBGVVTXZESSZY4W&lid=LSTMOBGVVTXZESSZY4WVAOO2Y&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_25&otracker=browse&fm=organic&iid=b0b5ed58-9c99-4faf-9bb0-3c03261d9018.MOBGVVTXZESSZY4W.SEARCH&ppt=None&ppn=None&ssid=j0getaw8ow0000001708243039463,4.2
1,"POCO C65 (Matte Black, 128 GB)",https://www.flipkart.com/poco-c65-matte-black-128-gb/p/itme8d1e736a1e3f?pid=MOBGVVTXBXRRZEUK&lid=LSTMOBGVVTXBXRRZEUKZU2IO7&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_26&otracker=browse&fm=organic&iid=b0b5ed58-9c99-4faf-9bb0-3c03261d9018.MOBGVVTXBXRRZEUK.SEARCH&ppt=None&ppn=None&ssid=j0getaw8ow0000001708243039463,4.3
2,"POCO C65 (Pastel Blue, 256 GB)",https://www.flipkart.com/poco-c65-pastel-blue-256-gb/p/itm25756864abc77?pid=MOBGVVTX2QNXDJ2W&lid=LSTMOBGVVTX2QNXDJ2WLNZIWO&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_27&otracker=browse&fm=organic&iid=b0b5ed58-9c99-4faf-9bb0-3c03261d9018.MOBGVVTX2QNXDJ2W.SEARCH&ppt=None&ppn=None&ssid=j0getaw8ow0000001708243039463,4.2
3,"POCO C65 (Matte Black, 128 GB)",https://www.flipkart.com/poco-c65-matte-black-128-gb/p/itm8ea3d87aa6c0c?pid=MOBGVVTXAFHYHDZS&lid=LSTMOBGVVTXAFHYHDZSK9U3D1&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_28&otracker=browse&fm=organic&iid=b0b5ed58-9c99-4faf-9bb0-3c03261d9018.MOBGVVTXAFHYHDZS.SEARCH&ppt=None&ppn=None&ssid=j0getaw8ow0000001708243039463,4.2
4,"POCO C65 (Matte Black, 256 GB)",https://www.flipkart.com/poco-c65-matte-black-256-gb/p/itmd776f58809b28?pid=MOBGVVTXXYZHF5UM&lid=LSTMOBGVVTXXYZHF5UMGXNVBS&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_29&otracker=browse&fm=organic&iid=b0b5ed58-9c99-4faf-9bb0-3c03261d9018.MOBGVVTXXYZHF5UM.SEARCH&ppt=None&ppn=None&ssid=j0getaw8ow0000001708243039463,4.2
5,"POCO C65 (Pastel Blue, 128 GB)",https://www.flipkart.com/poco-c65-pastel-blue-128-gb/p/itm496cf027e5826?pid=MOBGVVTXTQDGZ7JY&lid=LSTMOBGVVTXTQDGZ7JYJ1XDW1&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_30&otracker=browse&fm=organic&iid=b0b5ed58-9c99-4faf-9bb0-3c03261d9018.MOBGVVTXTQDGZ7JY.SEARCH&ppt=None&ppn=None&ssid=j0getaw8ow0000001708243039463,4.3
6,"POCO M6 Pro 5G (Power Black, 256 GB)",https://www.flipkart.com/poco-m6-pro-5g-power-black-256-gb/p/itme40c1e1538153?pid=MOBGVGDQ5MV3HPEZ&lid=LSTMOBGVGDQ5MV3HPEZ6BAJSL&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_31&otracker=browse&fm=organic&iid=b0b5ed58-9c99-4faf-9bb0-3c03261d9018.MOBGVGDQ5MV3HPEZ.SEARCH&ppt=None&ppn=None&ssid=j0getaw8ow0000001708243039463,4.2
7,"POCO M6 Pro 5G (Forest Green, 256 GB)",https://www.flipkart.com/poco-m6-pro-5g-forest-green-256-gb/p/itm5600e7d7f5ddc?pid=MOBGVGDQ5JZ9YX2G&lid=LSTMOBGVGDQ5JZ9YX2GMH9CUM&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_32&otracker=browse&fm=organic&iid=b0b5ed58-9c99-4faf-9bb0-3c03261d9018.MOBGVGDQ5JZ9YX2G.SEARCH&ppt=None&ppn=None&ssid=j0getaw8ow0000001708243039463,4.2
8,"POCO C51 (Power Black, 128 GB)",https://www.flipkart.com/poco-c51-power-black-128-gb/p/itma7b694266a136?pid=MOBGSPJPH3UZHMEQ&lid=LSTMOBGSPJPH3UZHMEQAWJ6LR&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_33&otracker=browse&fm=organic&iid=b0b5ed58-9c99-4faf-9bb0-3c03261d9018.MOBGSPJPH3UZHMEQ.SEARCH&ppt=None&ppn=None&ssid=j0getaw8ow0000001708243039463,4.1
9,"POCO C51 (Royal Blue, 128 GB)",https://www.flipkart.com/poco-c51-royal-blue-128-gb/p/itm9ade6427024be?pid=MOBGSPJPFSS9JJDW&lid=LSTMOBGSPJPFSS9JJDWVAIRSD&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_34&otracker=browse&fm=organic&iid=b0b5ed58-9c99-4faf-9bb0-3c03261d9018.MOBGSPJPFSS9JJDW.SEARCH&ppt=None&ppn=None&ssid=j0getaw8ow0000001708243039463,4.1
