,Product name,Links of products,Reviews
0,"OPPO F23 5G (Cool Black, 256 GB)",https://www.flipkart.com/oppo-f23-5g-cool-black-256-gb/p/itm7a0b753b2e0d3?pid=MOBGSGZJ8KF9ZBUK&lid=LSTMOBGSGZJ8KF9ZBUKS0FFHZ&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_25&otracker=browse&fm=organic&iid=605b27a0-e44e-43b9-8276-8440737b5c71.MOBGSGZJ8KF9ZBUK.SEARCH&ppt=None&ppn=None&ssid=mk76pvnyzk0000001708242593363,4.2
1,"OPPO A58 (Dazzling Green, 128 GB)",https://www.flipkart.com/oppo-a58-dazzling-green-128-gb/p/itm707c33af6ddfe?pid=MOBGRT4C8Q66DD2H&lid=LSTMOBGRT4C8Q66DD2HXGKTOC&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_26&otracker=browse&fm=organic&iid=605b27a0-e44e-43b9-8276-8440737b5c71.MOBGRT4C8Q66DD2H.SEARCH&ppt=None&ppn=None&ssid=mk76pvnyzk0000001708242593363,4.3
2,"OPPO A58 (Glowing Black, 128 GB)",https://www.flipkart.com/oppo-a58-glowing-black-128-gb/p/itm707c33af6ddfe?pid=MOBGRT4FJZBJBFGU&lid=LSTMOBGRT4FJZBJBFGU9JRELT&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_27&otracker=browse&fm=organic&iid=605b27a0-e44e-43b9-8276-8440737b5c71.MOBGRT4FJZBJBFGU.SEARCH&ppt=None&ppn=None&ssid=mk76pvnyzk0000001708242593363,4.3
3,"OPPO A78 5G (Glowing Black, 128 GB)",https://www.flipkart.com/oppo-a78-5g-glowing-black-128-gb/p/itmf1eeaf323aaa5?pid=MOBGRFUGABDFVWDH&lid=LSTMOBGRFUGABDFVWDHCGW34W&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_28&otracker=browse&fm=organic&iid=605b27a0-e44e-43b9-8276-8440737b5c71.MOBGRFUGABDFVWDH.SEARCH&ppt=None&ppn=None&ssid=mk76pvnyzk0000001708242593363,4.3
4,"OPPO A78 5G (Glowing Blue, 128 GB)",https://www.flipkart.com/oppo-a78-5g-glowing-blue-128-gb/p/itmf1eeaf323aaa5?pid=MOBGRFUGZJ8DHGKY&lid=LSTMOBGRFUGZJ8DHGKYMGWUD4&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_29&otracker=browse&fm=organic&iid=605b27a0-e44e-43b9-8276-8440737b5c71.MOBGRFUGZJ8DHGKY.SEARCH&ppt=None&ppn=None&ssid=mk76pvnyzk0000001708242593363,4.3
5,"OPPO F21s Pro (Dawnlight Gold, 128 GB)",https://www.flipkart.com/oppo-f21s-pro-dawnlight-gold-128-gb/p/itm5bc4db766548e?pid=MOBGRS34HQHZNA5T&lid=LSTMOBGRS34HQHZNA5TQX2YEC&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_30&otracker=browse&fm=organic&iid=605b27a0-e44e-43b9-8276-8440737b5c71.MOBGRS34HQHZNA5T.SEARCH&ppt=None&ppn=None&ssid=mk76pvnyzk0000001708242593363,4.2
6,"OPPO F21s Pro (Starlight Black, 128 GB)",https://www.flipkart.com/oppo-f21s-pro-starlight-black-128-gb/p/itmb30ebf8ca5fcb?pid=MOBGRS329NYM2TN7&lid=LSTMOBGRS329NYM2TN7KOCLKB&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_31&otracker=browse&fm=organic&iid=605b27a0-e44e-43b9-8276-8440737b5c71.MOBGRS329NYM2TN7.SEARCH&ppt=None&ppn=None&ssid=mk76pvnyzk0000001708242593363,4.2
7,"OPPO A78 (Aqua Green, 128 GB)",https://www.flipkart.com/oppo-a78-aqua-green-128-gb/p/itm383530414e2f0?pid=MOBGRZGWHPZUCSSQ&lid=LSTMOBGRZGWHPZUCSSQ8RF6EZ&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_32&otracker=browse&fm=organic&iid=605b27a0-e44e-43b9-8276-8440737b5c71.MOBGRZGWHPZUCSSQ.SEARCH&ppt=None&ppn=None&ssid=mk76pvnyzk0000001708242593363,4.3
8,"OPPO A78 (Mist Black, 128 GB)",https://www.flipkart.com/oppo-a78-mist-black-128-gb/p/itm383530414e2f0?pid=MOBGRZGWQPCVHNHD&lid=LSTMOBGRZGWQPCVHNHDRNQIZT&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_33&otracker=browse&fm=organic&iid=605b27a0-e44e-43b9-8276-8440737b5c71.MOBGRZGWQPCVHNHD.SEARCH&ppt=None&ppn=None&ssid=mk76pvnyzk0000001708242593363,4.3
9,"OPPO Reno10 5G (Silvery Grey, 256 GB)",https://www.flipkart.com/oppo-reno10-5g-silvery-grey-256-gb/p/itm8f29359478c6e?pid=MOBGQP3UFZA4KJYV&lid=LSTMOBGQP3UFZA4KJYVA5FVFS&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_34&otracker=browse&fm=organic&iid=605b27a0-e44e-43b9-8276-8440737b5c71.MOBGQP3UFZA4KJYV.SEARCH&ppt=None&ppn=None&ssid=mk76pvnyzk0000001708242593363,4.2
