,Product name,Links of products,Reviews
0,"realme Narzo 60X 5G (Stellar Green, 128 GB)",https://www.flipkart.com/realme-narzo-60x-5g-stellar-green-128-gb/p/itm906a3c913a97f?pid=MOBGTJCKHSEFZC4G&lid=LSTMOBGTJCKHSEFZC4GFVIW6D&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_25&otracker=browse&fm=organic&iid=f384d774-33a5-4d60-b884-f45a54118756.MOBGTJCKHSEFZC4G.SEARCH&ppt=None&ppn=None&ssid=danqv4mcsg0000001708613260504,4.3
1,"realme C53 (Champion Black, 128 GB)",https://www.flipkart.com/realme-c53-champion-black-128-gb/p/itm5df90168ecd05?pid=MOBGTEVGGM7CTGXU&lid=LSTMOBGTEVGGM7CTGXUWKURLB&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_26&otracker=browse&fm=organic&iid=f384d774-33a5-4d60-b884-f45a54118756.MOBGTEVGGM7CTGXU.SEARCH&ppt=None&ppn=None&ssid=danqv4mcsg0000001708613260504,4.4
2,"realme C53 (Champion Gold, 128 GB)",https://www.flipkart.com/realme-c53-champion-gold-128-gb/p/itm5df90168ecd05?pid=MOBGTEVGHM9ZPZBB&lid=LSTMOBGTEVGHM9ZPZBBYVV7IY&marketplace=FLIPKART&store=tyy%2F4io&spotlightTagId=BestsellerId_tyy%2F4io&srno=b_2_27&otracker=browse&fm=organic&iid=f384d774-33a5-4d60-b884-f45a54118756.MOBGTEVGHM9ZPZBB.SEARCH&ppt=None&ppn=None&ssid=danqv4mcsg0000001708613260504,4.4
3,"realme C51 (Mint Green, 64 GB)",https://www.flipkart.com/realme-c51-mint-green-64-gb/p/itm0e93bcb87927f?pid=MOBGSQGGC7NY4PXC&lid=LSTMOBGSQGGC7NY4PXCOCBP4E&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_28&otracker=browse&fm=organic&iid=f384d774-33a5-4d60-b884-f45a54118756.MOBGSQGGC7NY4PXC.SEARCH&ppt=None&ppn=None&ssid=danqv4mcsg0000001708613260504,4.3
4,"realme C51 (Carbon Black, 64 GB)",https://www.flipkart.com/realme-c51-carbon-black-64-gb/p/itm0e93bcb87927f?pid=MOBGSQGGZ7HQMEZD&lid=LSTMOBGSQGGZ7HQMEZDQMM5MX&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_29&otracker=browse&fm=organic&iid=f384d774-33a5-4d60-b884-f45a54118756.MOBGSQGGZ7HQMEZD.SEARCH&ppt=None&ppn=None&ssid=danqv4mcsg0000001708613260504,4.3
5,"realme Narzo N53 (Feather Gold, 128 GB)",https://www.flipkart.com/realme-narzo-n53-feather-gold-128-gb/p/itmab57ecd580f66?pid=MOBGRUFMH6PYPEDJ&lid=LSTMOBGRUFMH6PYPEDJHDBEPV&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_30&otracker=browse&fm=organic&iid=f384d774-33a5-4d60-b884-f45a54118756.MOBGRUFMH6PYPEDJ.SEARCH&ppt=None&ppn=None&ssid=danqv4mcsg0000001708613260504,4.2
6,"realme Narzo N53 (Feather Gold, 64 GB)",https://www.flipkart.com/realme-narzo-n53-feather-gold-64-gb/p/itmab57ecd580f66?pid=MOBGRUFMXFRFZKKG&lid=LSTMOBGRUFMXFRFZKKGLMPMRW&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_31&otracker=browse&fm=organic&iid=f384d774-33a5-4d60-b884-f45a54118756.MOBGRUFMXFRFZKKG.SEARCH&ppt=None&ppn=None&ssid=danqv4mcsg0000001708613260504,4.2
7,"realme 11 5G (Glory Gold, 256 GB)",https://www.flipkart.com/realme-11-5g-glory-gold-256-gb/p/itm676fecfaebff9?pid=MOBGS2W3AMEZWYXX&lid=LSTMOBGS2W3AMEZWYXX9KUCNV&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_32&otracker=browse&fm=organic&iid=f384d774-33a5-4d60-b884-f45a54118756.MOBGS2W3AMEZWYXX.SEARCH&ppt=None&ppn=None&ssid=danqv4mcsg0000001708613260504,4.3
8,"realme 11 5G (Glory Black, 256 GB)",https://www.flipkart.com/realme-11-5g-glory-black-256-gb/p/itm676fecfaebff9?pid=MOBGS2W3BG7HUZFZ&lid=LSTMOBGS2W3BG7HUZFZ3U57ZC&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_33&otracker=browse&fm=organic&iid=f384d774-33a5-4d60-b884-f45a54118756.MOBGS2W3BG7HUZFZ.SEARCH&ppt=None&ppn=None&ssid=danqv4mcsg0000001708613260504,4.3
9,"realme 11 5G (Glory Gold, 128 GB)",https://www.flipkart.com/realme-11-5g-glory-gold-128-gb/p/itm676fecfaebff9?pid=MOBGS2WF3NYDBZKW&lid=LSTMOBGS2WF3NYDBZKWHVGNQ7&marketplace=FLIPKART&store=tyy%2F4io&spotlightTagId=BestsellerId_tyy%2F4io&srno=b_2_34&otracker=browse&fm=organic&iid=f384d774-33a5-4d60-b884-f45a54118756.MOBGS2WF3NYDBZKW.SEARCH&ppt=None&ppn=None&ssid=danqv4mcsg0000001708613260504,4.3
